,expert_name,startup_name,How well is the problem identified and defined?,What is the level of pain area felt / perceived by the target customers / consumers?,What is the level of uniqueness in the proposition for the venture?,How high are the defensible technology barriers in the business? (High being 4),What is the strength of the competitive advantage in the business model?,What is the level of competition in terms of alternatives available ?,Low Price,Superior Quality,Distribution Leverage,Geographic Presence,Other,What is the level of sustainability of the competitive advantage in the next 24 months?,No Traction yet,Some Free Customers,Lots of Free Customers,Some Paid Customers,Growing Fast,Other,Are the business milestones for the next 24 months exciting?,Other,How feasible do you think is the Go To Market plan in next 12-18 month timeframe ?,What is the level of understanding and clarity of the financial projections by the team ?,Does the business model has high level of operating leverage & scalability potential ?,How do you think is the ability of the team to manage risks with Plan B ?,How would you rate the likability & connect with the Founder and his authenticity?,Other,Other,How did you find the overall presentation quality in terms of clarity and impact through communication ?,"How would you rate the quality of presentation deck in terms of clarity, scope, visual impact & simplicity ?",What is the overall feasibility of the business going forward ?,Addressable Market Size,Technology Barrier,Go to market plan strength,Revenue Stage,Product Uniqueness
28,David Wai Lun Ng,Pilot Automotive Labs,-0.0,0.6666666666666666,-0.0,1.0,0.5,0.0,0,0,1,1,0.0,0.5,1,0,1,1,1,0.0,1,0.0,1.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.5
29,David Wai Lun Ng,EmotionReader,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.5,0.5,1,0,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,-0.0,0.5,0.5,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.0,0.5,0.5
30,David Wai Lun Ng,Solarite Technologies Pte. Ltd.,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.0,1,0,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.5,0.5,1.0
31,David Wai Lun Ng,Velox Network Pte Ltd,-0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.0,0,0,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,-0.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,-0.0,0.5,1.0,0.5,0.0,0.0,0.0
32,Ramm,GroSum,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,0,0,0,0,0.0,0.0,1,1,1,0,1,0.0,0,0.0,0.6666666666666666,1.0,0.0,0.0,-0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.5,0.0,1.0,0.0
33,Ramm,Juno Clinic,-0.0,-0.0,-0.0,0.6666666666666666,1.0,0.5,1,0,1,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,-0.0,-0.0,1.0,1.0,0.3333333333333333,0.0,0.0,-0.0,0.3333333333333333,1.0,0.5,0.0,1.0,1.0,0.5
34,Ramm,forBinary,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,1.0,0,0,0,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0.5,0.0,0.0
35,Ramm,Canopy Power Pte. Ltd.,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,1,0,1,1,0.0,0.0,1,1,1,0,1,0.0,0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,0.5,1.0,0.5
36,Ramm,GetPY Analytics,0.3333333333333333,-0.0,0.3333333333333333,1.0,0.5,1.0,1,1,0,1,0.0,0.5,1,1,1,0,0,0.0,1,0.0,0.6666666666666666,1.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,0.0,0.0,0.5
37,Ramm,HeartSmart,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.5,0,0,0,0,0.0,0.0,1,1,1,0,1,0.0,0,0.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
38,Ramm,OhPhish Technologies Private Limited,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1,0,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.5,0.5,0.5
39,Ramm,Luminociti Networks,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,1,0,0,0,0.0,0.0,1,1,1,0,1,0.0,0,0.0,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0
40,Ramm,Singapore E-Business Pte Ltd,-0.0,-0.0,-0.0,0.6666666666666666,1.0,0.5,1,1,0,1,0.0,1.0,1,1,1,1,0,0.0,1,0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.5,0.5,1.0,1.0,1.0
41,Ramm,Medinfi Healthcare Pvt Ltd,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,1.0,1,0,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.5
42,Ramm,SmartClean Technologies Pte Ltd,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1,0,0,1,0.0,0.5,1,1,1,0,1,0.0,0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,1.0,0.5,0.5,0.5
43,Ramm,Blonk,0.3333333333333333,0.3333333333333333,-0.0,0.6666666666666666,0.0,1.0,1,0,0,0,0.0,0.0,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.0,0.0,0.0
44,Kenya,Eunimart Crossborder Pte Ltd,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0,0,0,1,0.0,0.5,1,1,1,0,0,0.0,1,0.0,0.6666666666666666,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.0
45,Kenya,Invento Robotics,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.0,0.5,1.0,1,0,0,0,0.0,1.0,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.0,0.0,1.0
46,Kenya,Bank2grow.com,-0.0,-0.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1,1,0,1,0.5,0.5,1,1,1,0,1,0.5,0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.0,0.0,0.5
47,Kenya,"BlobCity, Inc",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,1,0,1,1,0.0,0.5,1,0,1,0,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.0,1.0,0.5
48,Kenya,Drones Tech Lab,0.3333333333333333,-0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,1,0,0,1,0.0,1.0,1,1,1,0,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,0.0
49,Kenya,Limitless,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,0,1,0,1,0.0,0.0,0,0,1,1,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
50,Kenya,Kenyt.ai,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,1,0,0,1,0.0,0.0,1,1,1,0,1,0.0,0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
51,Kenya,Pingal Technologies Pvt Limited,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.5,1,0,1,0,0.0,0.0,0,0,1,1,1,0.0,0,0.0,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
52,Dorit,Hashprep,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1,1,1,1,0.6242,0.5,1,0,1,1,1,0.6242,1,0.6242,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6242,0.6242,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.5,0.5,1.0
53,Dorit,Triputhao,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.5,0.0,1,1,1,1,0.5,0.5,1,0,1,1,1,0.5,0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,1.0,0.5,1.0
54,Dorit,Fittree,-0.0,0.3333333333333333,-0.0,0.6666666666666666,1.0,0.5,1,0,1,1,0.0,1.0,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,1.0,1.0,1.0
55,Dorit,Discount monkey,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.5,1,1,1,1,0.5,0.5,1,0,1,1,1,0.5,0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,1.0,0.0,1.0,0.5,0.5
56,Dorit,Superfan,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0,1,0.5,0,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,0.5,1.0,1.0
57,Dorit,Repup,-0.0,-0.0,-0.0,-0.0,1.0,0.5,1,1,0,1,0.0,0.5,1,1,1,1,0,0.0,1,0.0,-0.0,-0.0,1.0,0.5,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0
58,Dorit,CoPro,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0,1,0.5,0,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,1.0
59,Dorit,BlueLotus360,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,1,1,0,1,0.7859499999999999,0.5,1,1,1,1,0,0.7859499999999999,1,0.7859499999999999,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.7859499999999999,0.7859499999999999,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
60,Dorit,Onspon,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,1,1,0,1,0.5,0.5,1,1,1,1,0,0.5,1,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0
61,Dorit,Brightfox learning,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.0,1,1,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.0,0.0,1.0,1.0
62,Dorit,Cheqqme,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,1,1,1,1,0.6366,0.5,1,1,1,0,1,0.6366,1,0.6366,0.3333333333333333,0.6666666666666666,0.5,0.5,-0.0,0.6366,0.6366,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.5,0.5,1.0
63,Dorit,101 career,-0.0,-0.0,-0.0,0.6666666666666666,1.0,0.5,1,1,1,1,0.79295,0.5,1,1,1,0,1,0.79295,0,0.79295,-0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.79295,0.79295,-0.0,-0.0,0.5,1.0,0.5,1.0,1.0,1.0
64,Dorit,popular chips,-0.0,-0.0,-0.0,0.6666666666666666,1.0,0.5,1,1,1,1,0.6909,0.5,1,1,1,1,0,0.6909,1,0.6909,-0.0,-0.0,1.0,1.0,-0.0,0.6909,0.6909,-0.0,-0.0,1.0,1.0,0.5,1.0,1.0,1.0
65,Hitoshi Iwasaki,"Astra IT, INC - Czar Securities",-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,1,0,1,1,0.0,1.0,1,1,1,1,0,0.0,1,0.0,-0.0,0.3333333333333333,1.0,0.5,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.5,1.0
66,Hitoshi Iwasaki,Sherpa Funds Technology,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,1,0,1,1,0.0,0.5,1,1,1,0,1,0.0,0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.5,1.0,0.5,0.0,0.5
